maquinaPropietariaSchedule, maquina, operacion, horaInicio, horaFin, ubicacion, cantidadMaterial, horaInicioHHMMSS, horaFinHHMSS, duracionActividad, tiempoInactivoDesdeActividadAnterior
Truck9,,VIAJE_VACIO,0,3218400,#UB1_4390_EST,0.0,0:0:0,0:53:38,3218400,0
Truck9,PA04,CARGA,3218400,3362579,#UB1_4390_EST,300.0,0:53:38,0:56:2,144179,0
Truck9,,VIAJE_CARGADO,3362579,5264578,#UB1_TRANQUEESPA_EST,300.0,0:56:2,1:27:44,1901999,0
Truck9,,DESCARGA,5264578,5295578,#UB1_TRANQUEESPA_EST,300.0,1:27:44,1:28:15,31000,0
PA04,Truck9,CARGA,3218400,3362579,#UB1_4390_EST,300.0,0:53:38,0:56:2,144179,1255476
Truck11,,VIAJE_VACIO,0,2443466,#UB1_4390_EST,0.0,0:0:0,0:40:43,2443466,0
Truck11,PA03,CARGA,2443466,2659482,#UB1_4390_EST,300.0,0:40:43,0:44:19,216016,0
Truck11,,VIAJE_CARGADO,2659482,4292745,#UB1_TRANQUEBERM_EST,300.0,0:44:19,1:11:32,1633263,0
Truck11,,DESCARGA,4292745,4327745,#UB1_TRANQUEBERM_EST,300.0,1:11:32,1:12:7,35000,0
PA03,Truck11,CARGA,2443466,2659482,#UB1_4390_EST,300.0,0:40:43,0:44:19,216016,0
Truck14,,VIAJE_VACIO,0,3752800,#UB1_4390_EST,0.0,0:0:0,1:2:32,3752800,0
Truck14,PA03,CARGA,3752800,3968816,#UB1_4390_EST,300.0,1:2:32,1:6:8,216016,0
Truck14,,VIAJE_CARGADO,3968816,5602079,#UB1_TRANQUEBERM_EST,300.0,1:6:8,1:33:22,1633263,0
Truck14,,DESCARGA,5602079,5677079,#UB1_TRANQUEBERM_EST,300.0,1:33:22,1:34:37,75000,0
PA03,Truck14,CARGA,3752800,3968816,#UB1_4390_EST,300.0,1:2:32,1:6:8,216016,1093318
Truck6,,VIAJE_VACIO,1857357,2422023,#RF10A_4270_1012_1,0.0,0:30:57,0:40:22,564666,228233
Truck6,PA05,CARGA,2422023,2498047,#RF10A_4270_1012_1,373.0,0:40:22,0:41:38,76024,0
Truck6,,VIAJE_CARGADO,2498047,3665989,#RB2_PUMA2_EST,373.0,0:41:38,1:1:5,1167942,0
Truck6,,DESCARGA,3665989,3709989,#RB2_PUMA2_EST,373.0,1:1:5,1:1:49,44000,0
PA05,Truck6,CARGA,2422023,2498047,#RF10A_4270_1012_1,373.0,0:40:22,0:41:38,76024,600000
Truck1,,VIAJE_VACIO,1551665,2618047,#RF10A_4270_1012_1,0.0,0:25:51,0:43:38,1066382,9482
Truck1,PA05,CARGA,2618047,2675065,#RF10A_4270_1012_1,300.0,0:43:38,0:44:35,57018,0
Truck1,,VIAJE_CARGADO,2675065,4037665,#RB2_PUMA2_EST,300.0,0:44:35,1:7:17,1362600,0
Truck1,,DESCARGA,4037665,4104665,#RB2_PUMA2_EST,300.0,1:7:17,1:8:24,67000,0
PA05,Truck1,CARGA,2618047,2675065,#RF10A_4270_1012_1,300.0,0:43:38,0:44:35,57018,120000
Truck12,,VIAJE_VACIO,1867232,4208816,#UB1_4390_EST,0.0,0:31:7,1:10:8,2341584,590796
Truck12,PA03,CARGA,4208816,4424832,#UB1_4390_EST,300.0,1:10:8,1:13:44,216016,0
Truck12,,VIAJE_CARGADO,4424832,5976431,#UB1_TRANQUEBERM_EST,300.0,1:13:44,1:39:36,1551599,0
Truck12,,DESCARGA,5976431,6050431,#UB1_TRANQUEBERM_EST,300.0,1:39:36,1:40:50,74000,0
PA03,Truck12,CARGA,4208816,4424832,#UB1_4390_EST,300.0,1:10:8,1:13:44,216016,240000
Truck4,,VIAJE_VACIO,2585644,4604832,#UB1_4390_EST,0.0,0:43:5,1:16:44,2019188,603770
Truck4,PA03,CARGA,4604832,4874852,#UB1_4390_EST,373.0,1:16:44,1:21:14,270020,0
Truck4,,VIAJE_CARGADO,4874852,6352566,#UB1_TRANQUEBERM_EST,373.0,1:21:14,1:45:52,1477714,0
Truck4,,DESCARGA,6352566,6402566,#UB1_TRANQUEBERM_EST,373.0,1:45:52,1:46:42,50000,0
PA03,Truck4,CARGA,4604832,4874852,#UB1_4390_EST,373.0,1:16:44,1:21:14,270020,180000
Truck5,,VIAJE_VACIO,3956681,4934852,#UB1_4390_EST,0.0,1:5:56,1:22:14,978171,232958
Truck5,PA03,CARGA,4934852,5204872,#UB1_4390_EST,373.0,1:22:14,1:26:44,270020,0
Truck5,,VIAJE_CARGADO,5204872,6756471,#UB1_TRANQUEBERM_EST,373.0,1:26:44,1:52:36,1551599,0
Truck5,,DESCARGA,6756471,6805471,#UB1_TRANQUEBERM_EST,373.0,1:52:36,1:53:25,49000,0
PA03,Truck5,CARGA,4934852,5204872,#UB1_4390_EST,373.0,1:22:14,1:26:44,270020,60000
Truck13,,VIAJE_VACIO,2498009,5324872,#UB1_4390_EST,0.0,0:41:38,1:28:44,2826863,57414
Truck13,PA03,CARGA,5324872,5540888,#UB1_4390_EST,300.0,1:28:44,1:32:20,216016,0
Truck13,,VIAJE_CARGADO,5540888,7174151,#UB1_TRANQUEBERM_EST,300.0,1:32:20,1:59:34,1633263,0
Truck13,,DESCARGA,7174151,7225151,#UB1_TRANQUEBERM_EST,300.0,1:59:34,2:0:25,51000,0
PA03,Truck13,CARGA,5324872,5540888,#UB1_4390_EST,300.0,1:28:44,1:32:20,216016,120000
Truck0,,VIAJE_VACIO,2596239,5540888,#UB1_4390_EST,0.0,0:43:16,1:32:20,2944649,251171
Truck0,PA03,CARGA,5540888,5756904,#UB1_4390_EST,300.0,1:32:20,1:35:56,216016,0
Truck0,,VIAJE_CARGADO,5756904,7480903,#UB1_TRANQUEBERM_EST,300.0,1:35:56,2:4:40,1723999,0
Truck0,,DESCARGA,7480903,7538903,#UB1_TRANQUEBERM_EST,300.0,2:4:40,2:5:38,58000,0
PA03,Truck0,CARGA,5540888,5756904,#UB1_4390_EST,300.0,1:32:20,1:35:56,216016,0
Truck8,,VIAJE_VACIO,2522395,3127351,#RF10B_4255_1001_1,0.0,0:42:2,0:52:7,604956,42729
Truck8,PA02,CARGA,3127351,3189127,#RF10B_4255_1001_1,300.0,0:52:7,0:53:9,61776,0
Truck8,,VIAJE_CARGADO,3189127,3921442,#CS03,300.0,0:53:9,1:5:21,732315,0
Truck8,,DESCARGA,3921442,3981442,#CS03,300.0,1:5:21,1:6:21,60000,0
PA02,Truck8,CARGA,3127351,3189127,#RF10B_4255_1001_1,300.0,0:52:7,0:53:9,61776,1440000
Truck10,,VIAJE_VACIO,2416127,3189127,#RF10B_4255_1001_1,0.0,0:40:16,0:53:9,773000,7852
Truck10,PA02,CARGA,3189127,3250903,#RF10B_4255_1001_1,300.0,0:53:9,0:54:10,61776,0
Truck10,,VIAJE_CARGADO,3250903,3946603,#CS03,300.0,0:54:10,1:5:46,695700,0
Truck10,,DESCARGA,3946603,4033603,#CS03,300.0,1:5:46,1:7:13,87000,0
PA02,Truck10,CARGA,3189127,3250903,#RF10B_4255_1001_1,300.0,0:53:9,0:54:10,61776,0
Truck11,,VIAJE_VACIO,5627571,6776904,#UB1_4390_EST,0.0,1:33:47,1:52:56,1149333,1299826
Truck11,PA03,CARGA,6776904,6992920,#UB1_4390_EST,300.0,1:52:56,1:56:32,216016,0
Truck11,,VIAJE_CARGADO,6992920,8626183,#UB1_TRANQUEBERM_EST,300.0,1:56:32,2:23:46,1633263,0
Truck11,,DESCARGA,8626183,8661183,#UB1_TRANQUEBERM_EST,300.0,2:23:46,2:24:21,35000,0
